date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:07:17	15154/15154	---M-Z	307	error ('Temporary%20Redirect')	text/html	date:Sat,%2009%20Mar%202024%2001:37:16%20GMT	https://www.pbssoft.com/robots.txt		(from )
07:07:17	181573/181573	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Mar%202024%2001:37:16%20GMT	https://www.pbssoft.com/	C:/My%20Web%20Sites/https___www.pbssoft.com_/www.pbssoft.com/index.html	(from )
07:07:18	19770/19770	---M--	200	added ('OK')	image/jpeg	etag:%224d3a-61b1f9a7-0;;;%22	uploads/settings/logo-resize.png/logo-resize.png	C:/My%20Web%20Sites/https___www.pbssoft.com_/www.pbssoft.com/uploads/settings/logo.png	(from https://www.pbssoft.com/)
07:07:18	1190/1190	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Mar%202024%2001:37:17%20GMT	https://www.pbssoft.com/assets/frontend/img/favicon.png	C:/My%20Web%20Sites/https___www.pbssoft.com_/www.pbssoft.com/assets/frontend/img/favicon.png	(from https://www.pbssoft.com/)
07:07:18	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/https___www.pbssoft.com_/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.pbssoft.com/)
07:07:18	144876/144876	---M-Z	200	added ('OK')	text/css	etag:%22235ec-628d25f4-0;gz%22	https://www.pbssoft.com/assets/frontend/css/bootstrap.min.css	C:/My%20Web%20Sites/https___www.pbssoft.com_/www.pbssoft.com/assets/frontend/css/bootstrap.min.css	(from https://www.pbssoft.com/)
07:07:18	2937/2937	---M-Z	200	added ('OK')	text/css	etag:%22b79-5c9f801e-0;gz%22	https://www.pbssoft.com/assets/frontend/css/owl.carousel.min.css	C:/My%20Web%20Sites/https___www.pbssoft.com_/www.pbssoft.com/assets/frontend/css/owl.carousel.min.css	(from https://www.pbssoft.com/)
07:07:19	23847/23847	---M-Z	200	added ('OK')	text/css	etag:%225d27-6141ddc0-0;gz%22	https://www.pbssoft.com/assets/frontend/css/animate.min.css	C:/My%20Web%20Sites/https___www.pbssoft.com_/www.pbssoft.com/assets/frontend/css/animate.min.css	(from https://www.pbssoft.com/)
07:07:19	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5c9f801e-0;gz%22	https://www.pbssoft.com/assets/frontend/css/magnific-popup.css	C:/My%20Web%20Sites/https___www.pbssoft.com_/www.pbssoft.com/assets/frontend/css/magnific-popup.css	(from https://www.pbssoft.com/)
07:07:19	34692/34692	---M-Z	200	added ('OK')	text/css	etag:%228784-5c9f801e-0;gz%22	https://www.pbssoft.com/assets/frontend/css/fontawesome-all.min.css	C:/My%20Web%20Sites/https___www.pbssoft.com_/www.pbssoft.com/assets/frontend/css/fontawesome-all.min.css	(from https://www.pbssoft.com/)
07:07:19	16470/16470	---M-Z	200	added ('OK')	text/css	etag:%224056-5c9f8020-0;gz%22	https://www.pbssoft.com/assets/frontend/css/themify-icons.css	C:/My%20Web%20Sites/https___www.pbssoft.com_/www.pbssoft.com/assets/frontend/css/themify-icons.css	(from https://www.pbssoft.com/)
07:07:20	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-5c9f801e-0;gz%22	https://www.pbssoft.com/assets/frontend/css/slick.css	C:/My%20Web%20Sites/https___www.pbssoft.com_/www.pbssoft.com/assets/frontend/css/slick.css	(from https://www.pbssoft.com/)
07:07:20	3371/3371	---M-Z	200	added ('OK')	text/css	etag:%22d2b-614b6b88-0;gz%22	https://www.pbssoft.com/assets/frontend/css/meanmenu.css	C:/My%20Web%20Sites/https___www.pbssoft.com_/www.pbssoft.com/assets/frontend/css/meanmenu.css	(from https://www.pbssoft.com/)
07:07:20	8004/8004	---M-Z	200	added ('OK')	text/css	etag:%221f44-614f1523-0;gz%22	https://www.pbssoft.com/assets/frontend/css/default.css	C:/My%20Web%20Sites/https___www.pbssoft.com_/www.pbssoft.com/assets/frontend/css/default.css	(from https://www.pbssoft.com/)
07:07:20	206613/206613	---M-Z	200	added ('OK')	text/css	etag:%2232715-63403c5f-0;gz%22	https://www.pbssoft.com/assets/frontend/css/style.css	C:/My%20Web%20Sites/https___www.pbssoft.com_/www.pbssoft.com/assets/frontend/css/style.css	(from https://www.pbssoft.com/)
07:07:21	21144/21144	---M-Z	200	added ('OK')	text/css	etag:%225298-6172931e-0;gz%22	https://www.pbssoft.com/assets/frontend/css/responsive.css	C:/My%20Web%20Sites/https___www.pbssoft.com_/www.pbssoft.com/assets/frontend/css/responsive.css	(from https://www.pbssoft.com/)
07:07:21	95957/95957	---M--	200	added ('OK')	application/javascript	etag:%2228feccc0-176d5%22	https://code.jquery.com/jquery-1.11.3.min.js	C:/My%20Web%20Sites/https___www.pbssoft.com_/code.jquery.com/jquery-1.11.3.min.js	(from https://www.pbssoft.com/)
